"how to use the word ""possible""","""in the afternoon"" or ""at the afternoon""","""listen music"" or ""listen to music""","how to describe ""beach""","how to replace ""happy"" in ""I am happy about""","what can be described by ""most""",,,
"how to use the word ""accelerate""","""run out of"" or ""run out with""","""punch me"" or ""punch on me""","how to describe ""platform""","substitute ""big"" in ""It is very big"" to other words","what can be described by ""so""",,,
"how can I use the word ""lighten""","""play a piano"" or ""play the piano""","""play the piano"" or ""play piano""","what ""water""","replace ""important"" in ""important role""","what can be described by ""really""",,,
"example of the word ""bag""","""at New York"" or ""in New York""","""go to the movies"" or ""go to movies""","how to describe ""beach""","please give me a synonym of ""happy"" in ""I am happy about""","what can be described by ""absolutely""",,,
"how to use ""accelerate""","""in sight of"" or "" in sight with""","""in the United States"" or ""in United States""","can you tell me how to describe ""platform""?","please change ""important"" in ""important role""","what can be described by ""truly""",,,
"show me how to use ""lighten""","""abide by"" or ""abide with""","which sentence is usually used, ""listen music or"" ""listen to music""","how to describe ""cup""","how to replace ""happy"" in ""I am happy about""","what can be described by ""very""",,,
"show me a sentence which contains the word ""archive""","""blame on me"" or ""blame with me""","which sentence is usually used, ""play the piano"" or ""play piano"".""","what verbs go with ""horse""","how can I substitute ""happy"" in ""I am happy about""","what can be described by ""stunning""",,,
"how can I use the word ""distinguish""","""in spite of"" or ""in spite with""","which sentence is usually used, ""go to the movies"" or ""go to movies""","how ""interested""","please tell me how to replace ""happy"" in ""I am happy about""","what can be described by ""incredibly""",,,
"how can I use the word ""public""","""throw a ball"" or ""pitch a ball""","which sentence is usually used, ""in the United States"" or ""in United States"".""","describe ""cup""","substitute ""happy"" in ""I am happy about""","what can be described by ""extremely""",,,
"how to use the word ""formation""","""listen to me"" or ""listen on me""","which is correct, ""listen music or"" ""listen to music""","describe ""jump""","replace happy"" in ""I am happy about""","What would you do for a ""role""",,,
"give me an example sentence of the word ""drive""","which is usually used, ""listen to me"" or ""listen on me""","which is correct, ""punch me"" or ""punch on me""","describe ""platform""","change ""beautiful"" in ""beautiful girl""","What would you do for a ""player""",,,
"show me the usage of the word ""study""","""go to a movie"" or ""go to the movies""","which is correct, ""play the piano"" or ""play piano""","describe ""cup""","substitute ""beautiful"" in ""beautiful girl"" to other words ","What other ""verb"" can I use to say ""abandon plan""",,,
"show me the usage of the word ""associate""","""pacific ocean"" or ""pacific sea""","which is correct, ""go to the movies"" or ""go to movies""","give me a word which can describe ""beach""","Find some synonyms of ""happy"" in ""I am happy about"".","What other ""noun"" can I use to say ""abandon plan""",,,
"how to use the word ""association""","which one is right, ""run out of"" or ""run out with""","which is correct, ""in the United States"" or ""in United States""","give me a word which can describe ""platform""","What is the synonym for ""happy"" in ""I am happy about""?","give me some ""adj"" for ""girl""",,,
"example of ""request""","which one is right, ""play a piano"" or ""play the piano""","""listen music"" or ""listen to music"" "," which is right?""","give me a word which can describe ""cup""","give me some synonyms of ""beautiful"" in ""beautiful girl""",,,
"how to use ""interface""","which one is right, ""play a piano"" or ""play the piano""","""punch me"" or ""punch on me"" "," which is right?""","how to describe the word ""pencil""","Synonyms for ""happy"" in ""I am happy about""",,,
"how to use the word ""interface""","which one is right, ""at New York"" or ""in New York""","""go to the movies"" or ""go to movies"" "," which is right?""","how to describe the word ""scissor""","What is the synonym for ""good"" in ""good weather""?",,,
